./static/chairbot/py/CB03.txt
x/ll[0] 	 y/ll[1] 	 degree 	 time
428.5	231.75	255.294727944	1590693331.95	
430.25	232.75	255.430512347	1590693331.98	
430.5	234.0	255.23080147	1590693332.02	
432.25	235.0	255.963756532	1590693332.05	
433.75	236.5	256.08527444	1590693332.08	
434.75	239.0	256.204746823	1590693332.12	
435.75	241.0	257.131704407	1590693332.15	
436.0	242.75	257.097587473	1590693332.18	
436.25	244.25	258.023867556	1590693332.21	
436.5	245.0	257.83779648	1590693332.25	
439.0	245.75	258.735794395	1590693332.28	
439.75	247.0	259.009133803	1590693332.32	
440.75	248.75	257.653579331	1590693332.35	
446.25	248.75	255.796062046	1590693332.38	
445.5	250.0	257.175601898	1590693332.41	
445.25	252.5	257.744975426	1590693332.45	
444.5	254.25	257.824087482	1590693332.48	
443.0	256.5	259.237462777	1590693332.51	
442.5	257.5	260.073754493	1590693332.55	
443.0	258.0	260.233320604	1590693332.58	
443.75	258.0	259.29315872	1590693332.61	
445.25	258.0	258.829022256	1590693332.64	
445.5	258.5	258.597505766	1590693332.68	
445.75	258.75	258.413723465	1590693332.71	
446.25	259.75	258.690067526	1590693332.74	
446.5	260.25	258.279188501	1590693332.78	
446.0	261.75	258.373019018	1590693332.81	
445.5	263.25	258.915108708	1590693332.84	
444.5	264.0	258.95905982	1590693332.88	
444.5	265.0	259.408472252	1590693332.91	
444.0	266.0	259.408472252	1590693332.94	
443.25	266.5	259.550571842	1590693332.97	
443.25	267.5	259.550571842	1590693333.01	
442.5	268.25	259.978894018	1590693333.04	
442.25	268.25	259.508522988	1590693333.07	
442.0	268.25	259.736657167	1590693333.11	
442.75	267.75	259.05326887	1590693333.14	
443.0	267.25	259.088871616	1590693333.18	
443.0	266.5	258.781157719	1590693333.21	
443.25	265.25	258.05144675	1590693333.24	
443.75	264.0	258.099410311	1590693333.27	
443.25	263.5	258.46070214	1590693333.31	
443.0	263.0	258.231711068	1590693333.34	
442.5	262.25	258.183852927	1590693333.38	
442.5	262.0	258.231711068	1590693333.41	
